payee,amount,support_oppose
CONNELL DONATELLI INC.,78425.0,S
CAMPAIGN SOLUTIONS,144426.08000000002,S
CAMPAIGN HQ,123485.70999999999,S
RETROMEDIA,51000.0,S
RRTVMEDIA LLC,425000.0,S
GOOGLE INC.,1642.83,O
FACEBOOK INC.,8426.91,O
RIGHT COUNTRY LISTS,10000.0,S
DONORBUREAU LLC,40200.0,S
ALLEGIANCE DIRECT LLC,47479.71,S
POLITICAL LIST BROKERS LLC,1000.0,S
INFOCISION MANAGEMENT CORPORATION,134546.03999999998,S
BRILLIANT COMMUNICATIONS,19349.9,S
SIERRA CLUB,3397.45,O
UNIVERSAL PRODUCTION MUSIC,425.0,O
THE NEW MEDIA FIRM INC.,22942.5,O
REV,6.0,O
MOTION FACTORY LLC,23900.0,O
AMIE BREEDLOVE VOICE TALENT,1000.0,O
VALTIM,7171.65,S
EBERLE COMMUNICATIONS GROUP,64.84,S
AMH PRINT GROUP,1350.0,S
CAMPAIGN FUNDING DIRECT,258.32,S
DIXON / DAVID MEDIA GROUP LLC,49409.0,O
CHONG KOSTER LLC,500930.0,O
WYNDHAM GARDEN INN,117.86,O
AMPLIFY MEDIA,1416295.0,O
THE STRATEGY GROUP FOR MEDIA,10000.0,S
AMERICAN AIRLINES GROUP INC.,321.65,O
ZEUSVISION,22000.0,O
STRATEGIC MEDIA PLACEMENT,73328.0,S
CLUB FOR GROWTH,2562.08,S
BIG EYE DIRECT,9650.73,S
